Title,Author,Average_Rating
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.78
Dear John,Nicholas Sparks,4.04
The Firm,John Grisham,4.06
The English Patient,Michael Ondaatje,3.86
Midnight’s Children,Salman Rushdie,3.98
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.36
The Last Song,Nicholas Sparks,4.16
Hidden Pictures,Jason Rekulak,4.15
Like Water for Chocolate,Laura Esquivel,3.95
All the Bright Places,Jennifer Niven,4.11
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,4.34
"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,3.98
Midnight in the Garden of Good and Evil,John Berendt,3.92
"The One (The Selection, #3)",Kiera Cass,4.14
The Nightingale,Kristin Hannah,4.64
A Streetcar Named Desire,Tennessee Williams,3.98
"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,4.62
My Ántonia,Willa Cather,3.84
Breakfast at Tiffany’s and Three Stories,Truman Capote,3.85
The Prince,Niccolò Machiavelli,3.84
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,4.15
Breakfast of Champions,Kurt Vonnegut Jr.,4.06
The Origin of Species,Charles Darwin,4.01
"Red, White & Royal Blue",Casey McQuiston,4.05
"The Hate U Give (The Hate U Give, #1)",Angie Thomas,4.45
A Fine Balance,Rohinton Mistry,4.38
We Were Liars,E. Lockhart,3.65
Persuasion,Jane Austen,4.15
"Hopeless (Hopeless, #1)",Colleen Hoover,4.22
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,3.99
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.17
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.85
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,4.13
